loopIteration, time (us), axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
  0, 158812260,   0,   0,   0,   0,   0,   0,  -4,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,   0,  70, -13, 4173, 124, 126, 115, 115, 0, 0, IDLE, 0, 0
  8, 158816336,   0,   0,  -3,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   1,   0,   1,  66,  -3, 4169, 115, 131, 115, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 16, 158820395,   0,   0,  -2,   0,   0,   0,   3,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   1,  64, -11, 4172, 115, 115, 126, 120, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 24, 158824479,   1,   0,  -1,   0,   0,   0,   4,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -2,   0,   1,  68, -23, 4176, 115, 115, 131, 125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 32, 158828534,   1,   0,  -2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -2,   0,   1,  75, -28, 4178, 115, 116, 124, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 40, 158832591,   0,   0,   1,   0,   0,   0,  -2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,  -1,   0,  -1,  73, -29, 4180, 121, 115, 115, 117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 48, 158836680,   0,   0,   2,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   1,  -1,  79, -20, 4175, 128, 120, 115, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 56, 158840748,   0,   0,   0,   0,   0,   0,  -3,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   1,   0,   0,  81, -13, 4177, 121, 126, 115, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 64, 158844803,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0, 1000, 1.852, 1023,   0,   0,   0,  83, -17, 4177, 115, 115, 122, 121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 72, 158848902,   1,   0,   0,   0,   0,   0,   4,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   0,  86, -27, 4179, 115, 115, 129, 124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 80, 158852976,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 1000, 1.843, 1023,  -1,   0,   0,  89, -35, 4184, 115, 115, 122, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 88, 158857045,   0,   0,   1,   0,   0,   0,  -1,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   0,   0,  -1,  87, -34, 4181, 121, 116, 115, 118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
 96, 158861361,  -1,   0,   1,   0,   0,   0,  -5,   0,   0,   0,   0,   0, 1000, 1.843, 1023,   1,   0,  -1,  87, -25, 4182, 131, 126, 115, 115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE, 1, 1
