time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
107423878, 18, 1.3294109, 103.7861129, 21, 0.01, 243.8
108035878, 18, 1.3294110, 103.7861129, 21, 0.02, 243.8
108236355, 18, 1.3294110, 103.7861128, 21, 0.08, 243.8
108516739, 18, 1.3294110, 103.7861127, 21, 0.04, 243.8
108636556, 18, 1.3294095, 103.7861130, 22, 0.13, 243.8
108836762, 18, 1.3294065, 103.7861113, 22, 0.98, 206.1
109037366, 18, 1.3294008, 103.7861087, 23, 2.42, 195.9
109237422, 18, 1.3293921, 103.7861059, 24, 4.00, 197.2
109517734, 18, 1.3293807, 103.7861048, 24, 5.95, 190.1
109638153, 18, 1.3293688, 103.7861080, 25, 6.59, 182.7
109837923, 18, 1.3293581, 103.7861178, 26, 7.51, 148.7
110038136, 18, 1.3293493, 103.7861331, 27, 9.22, 124.8
110238303, 18, 1.3293418, 103.7861530, 28, 10.72, 114.2
110518526, 18, 1.3293352, 103.7861795, 28, 13.39, 106.8
110638441, 18, 1.3293296, 103.7862148, 28, 17.34, 100.9
110838476, 18, 1.3293235, 103.7862619, 29, 22.55, 96.8
111039021, 18, 1.3293147, 103.7863232, 30, 30.20, 97.0
111239191, 18, 1.3293030, 103.7863954, 31, 38.63, 98.5
111518923, 18, 1.3292899, 103.7864730, 33, 42.67, 99.0
111639102, 18, 1.3292761, 103.7865533, 34, 44.79, 99.5
111839593, 18, 1.3292624, 103.7866341, 35, 45.77, 99.5
112039576, 18, 1.3292494, 103.7867143, 36, 45.55, 99.3
112239427, 18, 1.3292383, 103.7867931, 38, 44.80, 98.6
112519945, 18, 1.3292296, 103.7868718, 39, 43.82, 97.2
112639620, 18, 1.3292243, 103.7869542, 40, 44.39, 95.3
112840178, 18, 1.3292240, 103.7870441, 41, 47.64, 92.1
113040840, 18, 1.3292297, 103.7871405, 42, 52.44, 88.3
113240091, 18, 1.3292399, 103.7872404, 43, 55.17, 85.0
113520924, 18, 1.3292522, 103.7873420, 43, 56.62, 83.5
113640644, 18, 1.3292653, 103.7874419, 44, 57.42, 82.7
113841031, 18, 1.3292773, 103.7875369, 45, 54.87, 82.6
114041771, 18, 1.3292845, 103.7876276, 46, 51.92, 83.2
114241593, 18, 1.3292828, 103.7877138, 48, 49.55, 87.5
114522051, 18, 1.3292694, 103.7877927, 50, 46.72, 94.4
114642276, 18, 1.3292390, 103.7878590, 52, 42.68, 104.7
114832501, 17, 1.3292390, 103.7878590, 52, 39.52, 124.1
114842662, 17, 1.3291925, 103.7879081, 53, 39.52, 124.1
115042796, 17, 1.3291378, 103.7879376, 54, 36.63, 141.8
115243257, 17, 1.3290821, 103.7879488, 55, 33.22, 160.6
115433386, 16, 1.3290821, 103.7879488, 55, 30.25, 176.4
115523124, 16, 1.3290309, 103.7879441, 57, 30.25, 176.4
115643719, 16, 1.3289880, 103.7879253, 59, 27.25, 194.3
115843777, 16, 1.3289540, 103.7878943, 61, 25.17, 213.3
116043938, 16, 1.3289277, 103.7878532, 63, 26.15, 230.7
116244044, 16, 1.3289075, 103.7878044, 65, 27.99, 243.0
116524583, 16, 1.3288923, 103.7877486, 66, 30.42, 251.1
116644807, 16, 1.3288824, 103.7876836, 66, 33.60, 257.9
116845352, 16, 1.3288768, 103.7876070, 67, 39.25, 263.8
117045690, 16, 1.3288738, 103.7875213, 67, 45.85, 267.3
117245887, 16, 1.3288724, 103.7874310, 66, 49.14, 268.4
117526081, 16, 1.3288725, 103.7873376, 66, 51.02, 269.6
117636356, 15, 1.3288725, 103.7873376, 66, 52.59, 270.4
117646551, 15, 1.3288735, 103.7872418, 65, 52.59, 270.4
117846885, 15, 1.3288747, 103.7871440, 65, 53.71, 270.9
118046785, 15, 1.3288759, 103.7870441, 65, 54.87, 270.7
118247519, 15, 1.3288770, 103.7869428, 64, 55.86, 270.7
118527569, 15, 1.3288778, 103.7868405, 64, 56.52, 270.5
118648085, 15, 1.3288783, 103.7867370, 63, 57.15, 270.6
118848117, 15, 1.3288777, 103.7866326, 63, 57.84, 270.0
119048282, 15, 1.3288767, 103.7865290, 63, 58.15, 269.6
119238031, 16, 1.3288767, 103.7865290, 63, 56.91, 269.4
119248246, 16, 1.3288756, 103.7864282, 63, 56.91, 269.4
119528366, 16, 1.3288749, 103.7863317, 63, 55.07, 269.5
119638131, 15, 1.3288749, 103.7863317, 63, 52.34, 269.9
119648322, 15, 1.3288743, 103.7862394, 63, 52.34, 269.9
119838210, 16, 1.3288743, 103.7862394, 63, 50.24, 269.6
119848600, 16, 1.3288735, 103.7861507, 63, 50.24, 269.6
120038702, 15, 1.3288735, 103.7861507, 63, 48.41, 269.4
120048365, 15, 1.3288725, 103.7860649, 63, 48.41, 269.4
120238512, 16, 1.3288725, 103.7860649, 63, 46.95, 269.5
120258808, 16, 1.3288710, 103.7859817, 63, 46.95, 269.5
120528782, 16, 1.3288660, 103.7859007, 63, 45.78, 268.3
120648828, 16, 1.3288539, 103.7858230, 63, 44.30, 264.7
120849081, 16, 1.3288325, 103.7857503, 63, 42.89, 258.1
121049143, 16, 1.3288022, 103.7856860, 63, 40.79, 250.0
121259300, 16, 1.3287649, 103.7856315, 63, 38.01, 240.5
121539452, 16, 1.3287235, 103.7855872, 63, 34.98, 231.7
121649745, 16, 1.3286801, 103.7855540, 63, 32.12, 222.9
121859686, 16, 1.3286370, 103.7855322, 63, 28.55, 212.4
122059768, 16, 1.3285977, 103.7855206, 63, 24.95, 201.0
122259604, 16, 1.3285646, 103.7855170, 63, 20.54, 191.4
122539889, 16, 1.3285401, 103.7855206, 63, 16.42, 180.0
122639914, 15, 1.3285401, 103.7855206, 63, 11.52, 160.0
122659958, 15, 1.3285235, 103.7855307, 63, 11.52, 160.0
122860311, 15, 1.3285127, 103.7855476, 63, 10.42, 135.4
