timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse
0D00:00:56.755423000,20,1.329391,103.7862,23,0.02,74.1
0D00:00:57.013909000,20,1.329391,103.7862,23,0.02,74.1
0D00:00:57.134076000,20,1.329391,103.7862,23,0.01,74.1
0D00:00:57.324058000,20,1.329391,103.7862,23,0.05,74.1
0D00:00:57.524557000,20,1.329391,103.7862,23,0.1,74.1
0D00:00:57.724492000,20,1.329391,103.7862,23,0.12,74.1
0D00:00:58.004949000,20,1.32939,103.7862,23,0.22,74.1
0D00:00:58.124763000,20,1.329389,103.7862,23,0.61,154.3
0D00:00:58.325216000,20,1.329385,103.7862,24,1.38,164.5
0D00:00:58.525649000,20,1.329378,103.7862,24,2.96,170.9
0D00:00:58.726071000,20,1.329369,103.7862,25,4.56,178.1
0D00:00:59.016451000,20,1.329358,103.7862,26,5.67,180.4
0D00:00:59.126746000,20,1.329345,103.7862,26,6.96,179.7
0D00:00:59.306603000,21,1.329345,103.7862,26,7.64,169.5
0D00:00:59.326895000,21,1.329331,103.7862,27,7.64,169.5
0D00:00:59.537128000,21,1.329317,103.7863,28,8.98,151.1
0D00:00:59.737674000,21,1.329305,103.7863,29,11.06,131.8
0D00:01:00.017675000,21,1.329293,103.7863,30,13.19,119.8
0D00:01:00.127887000,21,1.329283,103.7863,31,15.64,112.7
0D00:01:00.328391000,21,1.329274,103.7864,31,17.87,107.2
0D00:01:00.528572000,21,1.329266,103.7864,32,22.04,101.8
0D00:01:00.728559000,21,1.329257,103.7865,33,26.2,100.7
0D00:01:01.018759000,21,1.329247,103.7865,33,30.62,99.4
0D00:01:01.138851000,21,1.329236,103.7866,34,33.92,99.3
0D00:01:01.329175000,21,1.329226,103.7866,35,35.53,99.9
0D00:01:01.529572000,21,1.329216,103.7867,36,36.03,99.1
0D00:01:01.729625000,21,1.329207,103.7868,37,36.2,98.6
0D00:01:02.019965000,21,1.3292,103.7868,39,36.17,97.4
0D00:01:02.130023000,21,1.329195,103.7869,40,35.89,95.1
0D00:01:02.330328000,21,1.329194,103.787,41,36.62,92
0D00:01:02.530525000,21,1.329192,103.787,42,37.53,91.2
0D00:01:02.730543000,21,1.329192,103.7871,44,38.38,90.8
0D00:01:03.020811000,21,1.329192,103.7872,46,39.35,90.4
0D00:01:03.131156000,21,1.329192,103.7872,48,40.91,89.5
0D00:01:03.311222000,20,1.329192,103.7872,48,42.39,89.6
0D00:01:03.331001000,20,1.329193,103.7873,50,42.39,89.6
0D00:01:03.531076000,20,1.329192,103.7874,53,41.12,90
0D00:01:03.711172000,19,1.329192,103.7874,53,41.24,90.6
0D00:01:03.731225000,19,1.329193,103.7875,55,41.24,90.6
0D00:01:04.021519000,19,1.329196,103.7875,58,41.14,88.8
0D00:01:04.121517000,20,1.329196,103.7875,58,41.76,86.5
0D00:01:04.131638000,20,1.329202,103.7876,61,41.76,86.5
0D00:01:04.331768000,20,1.329208,103.7877,64,42.49,84.7
0D00:01:04.531794000,20,1.329212,103.7878,67,41.8,85.3
0D00:01:04.731854000,20,1.329209,103.7878,70,41.28,89.1
0D00:01:04.911855000,19,1.329209,103.7878,70,40.55,95.7
0D00:01:05.022232000,19,1.329196,103.7879,73,40.55,95.7
0D00:01:05.132485000,19,1.329171,103.788,75,40.01,105.3
0D00:01:05.332560000,19,1.329134,103.788,77,39.52,115.9
0D00:01:05.533010000,19,1.329087,103.7881,79,38.95,127.2
0D00:01:05.703530000,18,1.329087,103.7881,79,37.48,139.1
0D00:01:05.713141000,18,1.329032,103.7881,81,37.48,139.1
0D00:01:05.913802000,19,1.329032,103.7881,81,36.88,150.8
0D00:01:06.013620000,19,1.328973,103.7882,82,36.88,150.8
0D00:01:06.114007000,18,1.328973,103.7882,82,33.65,165.6
0D00:01:06.134132000,18,1.328916,103.7882,83,33.65,165.6
0D00:01:06.334000000,18,1.328861,103.7882,83,31.05,180.2
0D00:01:06.534352000,18,1.328806,103.7881,83,31.51,196.1
0D00:01:06.714512000,16,1.328806,103.7881,83,36.02,212.1
0D00:01:06.734780000,16,1.328749,103.7881,81,36.02,212.1
0D00:01:06.914898000,17,1.328749,103.7881,81,43.85,223.4
0D00:01:07.025013000,17,1.328695,103.788,80,43.85,223.4
0D00:01:07.115107000,16,1.328695,103.788,80,47.89,234.1
0D00:01:07.134975000,16,1.328651,103.7879,79,47.89,234.1
0D00:01:07.334901000,16,1.328622,103.7879,77,49.62,245.1
0D00:01:07.535184000,16,1.328607,103.7878,76,49.62,256.1
0D00:01:07.725468000,17,1.328607,103.7878,76,50.22,264.4
0D00:01:07.735167000,17,1.3286,103.7877,75,50.22,264.4
0D00:01:08.025351000,17,1.328597,103.7876,74,51.72,267.1
0D00:01:08.135512000,17,1.328594,103.7875,74,54.76,268.6
0D00:01:08.315379000,19,1.328594,103.7875,74,57.45,268.5
0D00:01:08.335678000,19,1.328591,103.7874,74,57.45,268.5
0D00:01:08.535869000,19,1.328586,103.7873,74,58.7,267.9
0D00:01:08.725539000,17,1.328586,103.7873,74,59.39,267
0D00:01:08.735675000,17,1.32858,103.7872,74,59.39,267
0D00:01:09.036133000,17,1.328573,103.7871,74,59.68,266.4
0D00:01:09.126233000,18,1.328573,103.7871,74,59.77,265.9
0D00:01:09.136379000,18,1.328564,103.787,74,59.77,265.9
0D00:01:09.336277000,18,1.328555,103.7868,74,58.84,265.3
0D00:01:09.526531000,19,1.328555,103.7868,74,53.66,264.2
0D00:01:09.536702000,19,1.328545,103.7868,73,53.66,264.2
