timens,GPSnumSat,GPScoord0,GPScoord1,GPSaltitude,GPSspeedms,GPSgroundcourse,loopIteration,axisP0,axisP1,axisP2,axisI0,axisI1,axisI2,axisD0,axisD1,axisD2,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,rssi,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3,flightModeFlagsflags,stateFlagsflags,failsafePhaseflags,rxSignalReceived,rxFlightChannelsValid,acceleration_G
0D00:00:56.753239000,20,1.329391,103.7862,23,0.02,74.1,39976,1,2,-26,-33,-13,-57,-1,-4,0,-154,-3,29,1423,1.586,1023,-107,-4,25,-2668,14950,672,700,1214,965,615,,,,1,1,0.1157049
0D00:00:57.010605000,20,1.329391,103.7862,23,0.02,74.1,40480,-1,2,-24,-52,-7,-88,0,1,0,-160,-3,57,1447,1.569,1023,-107,-5,40,-1070,14668,4313,761,1363,1062,504,,,,1,1,0.0005247013
0D00:00:57.132547000,20,1.329391,103.7862,23,0.01,74.1,44744,38,-14,-35,50,-18,3,-1,0,0,-45,-15,0,1276,1.639,1023,-68,4,12,-4924,5929,-14492,181,519,797,803,,,,1,1,0.0001243038
0D00:00:57.320513000,20,1.329391,103.7862,23,0.05,74.1,45112,9,-14,-60,117,-73,-37,-3,1,0,-51,-16,0,1254,1.622,1023,-42,5,21,-981,14718,-7176,116,846,1030,967,,,,1,1,0.0009580326
0D00:00:57.520489000,20,1.329391,103.7862,23,0.1,74.1,45504,-2,-1,-39,121,-83,-67,0,0,0,-76,-20,0,1261,1.631,1023,-47,-11,14,-1716,14739,-3042,116,870,1050,936,,,,1,1,0.002038491
0D00:00:57.721003000,20,1.329391,103.7862,23,0.12,74.1,45896,-4,-4,-13,111,-86,-92,0,-2,0,-108,-31,-1,1287,1.595,1023,-65,-15,4,-2529,14889,-2937,116,877,938,881,,,,1,1,0.002452771
0D00:00:58.002655000,20,1.32939,103.7862,23,0.22,74.1,46448,4,-2,-36,120,-95,-113,0,-2,0,-127,-38,-1,1312,1.613,1023,-88,-22,12,-3694,16217,2806,116,1077,1194,958,,,,1,1,0.006316355
0D00:00:58.121323000,20,1.329389,103.7862,23,0.61,154.3,46680,-1,0,-51,118,-97,-125,11,-1,0,-139,-36,0,1352,1.604,1023,-91,-23,18,-3791,16491,3858,116,1197,1338,966,,,,1,1,0.007378948
0D00:00:58.321354000,20,1.329385,103.7862,24,1.38,164.5,47072,-68,39,24,59,-66,-139,-3,-7,0,-155,-25,14,1458,1.595,1023,-36,-56,-1,-4341,13565,6128,622,1327,1108,726,,,,1,1,0.02813892
0D00:00:58.521621000,20,1.329378,103.7862,24,2.96,170.9,47464,-3,2,0,12,-22,-113,-18,1,0,-156,-23,27,1476,1.569,1023,-102,-17,14,-5726,13651,8387,696,1310,1182,738,,,,1,1,0.06042715
0D00:00:58.725683000,20,1.329369,103.7862,25,4.56,178.1,47864,-5,0,2,15,-22,-109,-17,15,0,-126,-3,29,1443,1.595,1023,-77,-2,15,-5151,11727,8535,672,1193,1125,667,,,,1,1,0.09485451
0D00:00:59.015711000,20,1.329358,103.7862,26,5.67,180.4,48432,-5,-2,26,12,-20,-105,4,-4,0,-107,0,40,1440,1.613,1023,-64,2,13,-4704,10379,9317,638,1124,1055,816,,,,1,1,0.1676309
0D00:00:59.125955000,20,1.329345,103.7862,26,6.96,179.7,48648,-1,-3,8,8,-24,-103,-2,-4,0,-93,-3,50,1442,1.595,1023,-58,1,24,-3885,10250,9432,608,1195,1067,779,,,,1,1,0.07821593
0D00:00:59.305554000,21,1.329345,103.7862,26,7.64,169.5,49000,-7,3,17,0,-26,-100,10,0,0,-72,-16,63,1456,1.595,1023,-39,-14,28,-2685,9100,9738,686,1178,1085,814,,,,1,1,0.1398712
0D00:00:59.326172000,21,1.329331,103.7862,27,7.64,169.5,49040,-7,2,16,-2,-26,-99,5,4,0,-69,-17,63,1456,1.604,1023,-37,-14,29,-2182,8669,8175,717,1187,1076,782,,,,1,1,0.01605724
0D00:00:59.534445000,21,1.329317,103.7863,28,8.98,151.1,49448,0,4,33,-4,-15,-78,-29,-2,0,-23,-25,55,1461,1.613,1023,-15,-20,18,-2917,7845,8165,891,1162,947,803,,,,1,1,0.1906515
