time (us), GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course
399556395,9,33.7536459,-111.8318612,861,0.1,0
399583683,9,33.7536462,-111.8318608,861,0.1,0
400238532,9,33.7536467,-111.8318612,861,0.1,0
400389963,9,33.7536467,-111.8318616,861,0.24,0
400593279,9,33.7536468,-111.8318617,861,0.13,0
400794037,9,33.753647,-111.8318616,861,0.09,0
400997428,9,33.7536472,-111.8318615,861,0.12,0
401239730,9,33.7536474,-111.8318618,861,0.1,0
402396288,9,33.7536487,-111.8318631,862,0.04,0
402597071,9,33.7536488,-111.8318631,862,0.02,0
402797575,9,33.7536491,-111.8318632,862,0.1,0
402999253,9,33.7536493,-111.8318629,863,0.09,0
403242057,9,33.7536497,-111.8318621,863,0.34,0
403402408,9,33.7536499,-111.8318609,864,0.63,0
403603244,9,33.7536501,-111.831859,864,0.89,0
403794825,9,33.7536503,-111.8318562,865,1.1,84
403996327,9,33.7536509,-111.831854,866,1.42,84.9
404247559,9,33.7536511,-111.8318525,868,1.12,89.2
404400827,9,33.7536508,-111.8318485,868,1.14,101.9
404603501,9,33.7536512,-111.8318429,869,2.1,83.1
404803920,9,33.753652,-111.8318371,870,2.58,80.2
404996734,9,33.7536527,-111.8318308,871,2.57,81.2
405247168,9,33.7536537,-111.8318237,871,2.97,79.4
405398634,9,33.7536548,-111.8318156,872,3.36,77.8
405599296,9,33.7536561,-111.8318067,873,3.76,77.6
405799699,9,33.7536575,-111.831797,874,4.18,77.3
406001552,9,33.753659,-111.831787,875,4.38,77
406252500,9,33.7536606,-111.8317768,876,4.52,77
406405034,9,33.7536624,-111.8317663,876,4.73,75.8
406606045,9,33.7536644,-111.8317555,877,4.93,75.5
406806604,9,33.7536663,-111.8317445,878,5.15,74.8
407008665,9,33.7536686,-111.8317331,879,5.04,76
407252137,9,33.7536714,-111.8317209,881,5.56,73.6
407412428,9,33.7536742,-111.8317084,881,5.86,72.2
407613469,9,33.7536769,-111.8316956,882,5.86,72.4
407814239,9,33.7536795,-111.8316823,883,6.04,73.5
408014955,9,33.7536822,-111.8316686,884,6.18,74.3
408257372,9,33.7536849,-111.8316545,884,6.33,74.9
408410704,9,33.7536872,-111.8316405,885,6.61,75.4
