timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
199792,64.332,5.005205,6.032702e+07,5,-1,5,1406,1.639,12,-2,6,-3287,2981,5298,818,978,864,696
199915,79.344,5.002126,6.052682e+07,-2,17,1,1380,1.648,-3,13,3,-1996,2345,4308,712,787,898,747
289694,94.32,3.451918,6.072673e+07,-2,33,3,1368,1.648,-1,20,-3,-2443,1599,3388,766,744,785,753
118501,110.232,8.438747,6.101643e+07,-2,49,7,1353,1.657,-1,31,7,-3442,1503,1658,681,741,790,712
191870,122.112,5.211862,6.113493e+07,-2,44,10,1353,1.657,-2,28,-1,-1343,1182,1359,747,674,721,782
200049,127.908,4.998775,6.13268e+07,-2,32,14,1392,1.648,-1,20,7,-635,1320,1658,809,783,820,830
199906,129.708,5.002351,6.152685e+07,-2,0,27,1470,1.639,1,-3,10,-1647,829,5045,1035,900,940,1001
290013,130.32,3.448121,6.172675e+07,-2,-12,3,1389,1.648,-4,-5,-2,-1759,809,1779,815,754,783,865
110027,130.212,9.088678,6.201676e+07,-2,-40,0,1355,1.666,-2,-25,5,-1011,761,119,679,751,773,739
199985,129.204,5.000375,6.212679e+07,-2,-36,0,1355,1.666,-2,-23,3,-725,806,374,691,737,766,748
200148,131.832,4.996303,6.232678e+07,-2,0,0,1386,1.657,0,0,-1,-4873,777,1214,767,787,811,828
199812,135.108,5.004704,6.252692e+07,0,25,0,1400,1.657,2,17,5,-3801,590,2713,763,863,883,799
293813,138.168,3.403525,6.272674e+07,0,0,0,1406,1.657,-1,1,-5,-3692,304,1964,846,801,828,882
110496,141.66,9.050101,6.302055e+07,123,-3,-50,1360,1.666,84,-3,-23,-4367,-508,1284,699,764,808,711
179571,147.276,5.568828,6.313105e+07,174,-1,-65,1406,1.657,140,2,-39,-4498,-4786,2180,887,877,758,835
200120,152.604,4.997002,6.333094e+07,174,-1,-19,1432,1.648,122,6,-17,-3291,-11745,7435,990,941,693,944
179712,148.032,5.564459,6.353106e+07,158,-1,-7,1460,1.631,108,2,-17,-2833,-13627,10140,1208,994,603,990
289729,148.464,3.451501,6.373108e+07,117,-29,-4,1474,1.622,74,-15,-15,-3393,-13009,9697,1157,911,686,1156
98287,148.104,10.17429,6.402081e+07,114,-33,-4,1456,1.622,72,-17,-3,-3061,-10413,9188,1043,844,750,1125
200067,150.336,4.998326,6.413131e+07,110,-44,-4,1456,1.622,68,-32,-5,-3003,-10172,9822,1041,777,777,1168
199850,152.964,5.003753,6.433138e+07,86,-20,-5,1423,1.639,61,-12,-4,-3681,-9213,9700,1090,837,581,986
200201,150.48,4.99498,6.453123e+07,76,-13,-5,1421,1.639,47,-11,1,-4005,-7954,8935,955,752,735,1036
179726,148.608,5.564025,6.473143e+07,55,-5,-4,1456,1.631,41,0,7,-4168,-7736,7860,970,897,825,1070
110303,145.98,9.065937,6.491115e+07,3,-5,-4,1460,1.622,9,-5,-1,-4758,-6406,8400,1123,880,753,1039
110472,145.98,9.052067,6.502146e+07,-10,-7,-5,1460,1.622,-3,-6,7,-4031,-6108,8772,1042,920,827,1006
199637,144.036,5.009092,6.513193e+07,-17,-7,-12,1460,1.631,-11,-10,1,-4137,-5437,7877,1069,902,856,968
199952,142.272,5.0012,6.533157e+07,-3,-26,-19,1460,1.631,-4,-18,-1,-4750,-3879,4829,1029,961,889,916
171358,140.22,5.835736,6.553152e+07,-2,-27,-16,1460,1.631,-6,-16,-3,-5502,-2753,4962,988,900,930,978
200342,134.928,4.991465,6.571103e+07,-5,-12,-19,1460,1.631,-5,-12,-6,-5290,-2292,2542,1022,893,940,941
101864,132.768,9.817011,6.591137e+07,-8,-5,-23,1460,1.639,-8,-5,-10,-5636,-891,6624,995,905,927,968
97921,132.768,10.21231,6.601324e+07,-12,-3,-23,1460,1.631,-7,-3,-8,-5195,-843,4269,982,902,980,931
199924,121.14,5.001901,6.613158e+07,-16,-3,-23,1460,1.639,-12,2,-9,-5139,-57,4899,946,944,946,960
200073,111.78,4.998176,6.63315e+07,-16,-4,-23,1460,1.639,-10,-6,-11,-4733,357,4523,985,911,977,922
179498,113.436,5.571093,6.653158e+07,0,-7,-19,1436,1.639,-3,-3,-4,-5125,785,4212,832,908,957,904
179559,129.672,5.5692,6.673136e+07,11,-1,-4,1406,1.648,9,1,-2,-4893,-97,2447,825,811,855,864
110126,157.86,9.080508,6.691092e+07,5,0,-3,1368,1.648,6,0,-5,-4119,-1068,1005,809,737,721,780
94010,157.86,10.63717,6.702105e+07,0,0,-3,1347,1.666,2,1,-2,-4018,-1034,1316,732,707,697,741
200309,172.404,4.992287,6.71314e+07,0,0,-1,1315,1.675,-2,1,8,-3678,-792,74,602,695,680,639
200049,178.632,4.998775,6.733171e+07,-3,0,-1,1346,1.657,-3,-4,-2,-3758,-342,749,735,676,702,756
191826,178.632,5.213058,6.753176e+07,7,0,-1,1391,1.657,5,0,0,-3968,-68,2328,809,788,813,825
289725,180.792,3.451549,6.773169e+07,22,18,-3,1393,1.657,16,15,-5,-3330,-1127,2642,833,762,790,866
110235,186.192,9.071529,6.802142e+07,29,1,-3,1393,1.657,18,-1,-1,-3275,-1464,2424,850,799,804,798
183576,197.136,5.447335,6.813165e+07,53,0,-10,1393,1.648,35,2,-8,-3150,-2252,1939,845,783,774,848
200009,206.82,4.999775,6.83355e+07,57,0,-16,1393,1.657,39,2,-12,-3291,-3843,2921,863,784,757,846
187985,211.32,5.319573,6.853551e+07,57,-12,-17,1393,1.657,38,-8,-8,-3228,-5497,3793,858,825,747,821
301883,213.804,3.312542,6.873162e+07,110,-57,-57,1392,1.648,77,-33,-37,-3450,-7064,3734,898,807,657,880
89827,214.848,11.13251,6.903351e+07,110,-24,-71,1392,1.648,73,-15,-41,-3926,-9456,6494,963,824,633,822
200298,215.172,4.992561,6.913551e+07,110,-3,-73,1392,1.639,72,1,-33,-3102,-9703,6233,884,908,641,810
187867,211.824,5.322915,6.933580e+07,115,0,-69,1392,1.648,71,-2,-44,-2606,-8924,7814,939,768,578,958
188071,193.176,5.317141,6.953587e+07,125,0,-69,1392,1.639,81,2,-36,-1542,-9628,8747,900,837,627,878
187987,180.648,5.319517,6.973614e+07,130,0,-71,1396,1.648,78,-6,-29,-1270,-8560,7587,850,834,802,789
110178,176.04,9.076222,6.992413e+07,134,0,-78,1396,1.648,81,-3,-33,-722,-8307,8884,751,809,860,854
69496,176.04,14.38932,7.003431e+07,134,0,-79,1396,1.648,82,-1,-42,-645,-8490,8823,777,747,831,920
200240,175.428,4.994007,7.01242e+07,132,0,-78,1407,1.648,90,1,-42,-960,-7995,10176,815,821,805,924
199822,169.416,5.004454,7.032444e+07,98,42,-63,1409,1.639,62,25,-38,-350,-7571,9156,845,732,878,926
179605,159.948,5.567774,7.052426e+07,80,68,-10,1372,1.639,56,43,-2,-25,-6280,8739,746,769,794,771
281971,151.704,3.546464,7.072429e+07,74,32,-3,1446,1.631,51,22,0,-305,-5991,9853,853,897,907,943
98037,138.42,10.20023,7.100626e+07,35,-22,0,1632,1.551,28,-17,-7,-1604,-7321,15711,1316,1263,1254,1362
192012,126.828,5.208008,7.112466e+07,28,-24,0,1689,1.533,21,-19,-6,-1798,-7174,17661,1453,1384,1363,1457
187669,111.96,5.328531,7.131667e+07,15,-27,0,1758,1.506,13,-17,-2,-3019,-7303,14845,1602,1560,1493,1564
199999,95.544,5.000025,7.151683e+07,3,-29,0,1816,1.471,3,-18,-3,-4610,-6641,14095,1741,1633,1614,1702
301761,83.16,3.313881,7.171683e+07,0,-3,0,1862,1.453,-3,-3,-1,-5703,-4923,11386,1826,1703,1736,1799
90019,81.576,11.10877,7.201859e+07,1,40,4,1918,1.427,5,27,-1,-3785,-2721,8265,1931,1810,1851,1928
212521,85.176,4.705417,7.21167e+07,1,42,5,1943,1.418,-1,29,-1,-1745,-1979,9610,1969,1855,1901,1997
187911,88.704,5.321668,7.232922e+07,2,24,5,1980,1.418,-6,20,-3,546,-1424,4259,1954,1852,1895,2047
200260,93.816,4.993508,7.251713e+07,1,0,3,2000,1.418,-1,-8,0,436,-470,3891,1968,1826,1894,2047
191730,98.46,5.215668,7.271739e+07,2,-28,0,2000,1.418,13,-29,4,-2018,-535,-119,1975,1844,1918,2046
110127,106.524,9.080425,7.290912e+07,2,-24,0,2000,1.4,22,-20,6,-4962,-1020,-2957,2008,1904,1972,2037
110466,106.524,9.052559,7.301925e+07,2,-12,0,2000,1.409,5,-8,-1,-3960,-1820,5351,1991,1865,1962,2033
200002,118.8,4.99995,7.312972e+07,2,-3,0,2000,1.409,-4,5,2,-6419,-1757,393,1962,1873,1960,2046
187799,124.632,5.324842,7.332972e+07,2,-4,0,2000,1.409,6,3,2,-6049,705,1370,1942,1851,1953,2047
212499,129.6,4.705904,7.351752e+07,2,-12,0,2000,1.4,2,-9,-14,-6191,-295,2322,1962,1822,1906,2047
179860,131.328,5.55988,7.373002e+07,2,-17,0,2000,1.4,-2,-4,-3,-7892,-986,2211,1963,1855,1963,2038
110136,128.052,9.079683,7.390988e+07,2,-17,0,2000,1.409,-1,-2,-6,-4851,-1466,3835,1969,1859,1942,2045
110253,128.052,9.070048,7.402001e+07,2,-17,0,2000,1.391,10,-16,-1,-7849,-973,1653,1993,1876,1980,2030
179671,125.712,5.565728,7.413026e+07,2,-17,0,2000,1.391,3,-16,0,-8233,-728,-324,1956,1851,1964,2039
200175,124.164,4.995629,7.433029e+07,2,-18,-1,2000,1.373,6,-17,6,-9024,-295,-8486,1974,1877,2008,2027
199952,125.604,5.0012,7.453046e+07,2,-17,-1,1998,1.409,-5,-22,-6,-6738,-243,3867,1947,1821,1947,2037
289935,128.916,3.449049,7.473041e+07,-27,-3,-22,1737,1.506,-19,3,-5,-8688,1267,-439,1457,1473,1572,1546
110225,130.932,9.072352,7.502035e+07,-111,-30,-3,1429,1.586,-102,-1,10,-6234,12329,-8603,393,852,1163,1135
192179,134.316,5.203482,7.513057e+07,-117,-47,8,1391,1.551,-136,26,34,-5299,19068,-4442,115,1001,1389,1335
200077,136.188,4.998076,7.532275e+07,-145,-48,25,1344,1.56,-96,-37,22,-1762,21671,1272,116,898,1087,1013
188299,136.332,5.310703,7.552283e+07,-154,-46,16,1353,1.551,-104,-31,29,-2305,22758,6468,116,1175,1305,1036
301893,136.26,3.312432,7.572329e+07,-154,-50,17,1382,1.569,-60,-62,16,-3401,16136,4414,351,1178,1047,585
97996,136.908,10.2045,7.602518e+07,-152,-42,32,1383,1.569,-102,-37,24,-3760,13617,7799,267,1191,1154,557
192209,137.196,5.20267,7.612318e+07,-152,-36,33,1383,1.577,-99,-26,25,-3571,13298,7220,209,1189,1190,581
199812,137.016,5.004704,7.632349e+07,-149,-29,40,1386,1.577,-99,-23,22,-1578,9535,8908,372,1170,1071,581
200379,137.556,4.990543,7.65233e+07,-125,-28,42,1400,1.586,-85,-27,8,-3603,7169,9654,628,977,1008,694
302048,137.448,3.310732,7.672368e+07,-55,-27,51,1424,1.569,-38,-24,17,-2902,5859,10357,747,965,1047,744
110221,135.864,9.072681,7.702573e+07,-3,-30,60,1455,1.577,4,-19,19,-3500,3824,12113,914,1094,896,851
199867,134.028,5.003327,7.713595e+07,8,-16,48,1447,1.577,-8,-15,20,-3556,4562,9314,828,1029,985,847
179969,128.052,5.556513,7.733582e+07,102,7,-16,1438,1.586,66,-2,-13,-3526,3233,8400,863,963,971,820
191851,114.192,5.212378,7.752393e+07,92,3,-19,1429,1.595,60,2,-19,-2945,571,8871,881,874,911,878
179526,95.652,5.570224,7.773611e+07,98,4,-19,1429,1.595,66,4,-18,-2684,-1632,7646,913,848,871,912
110105,79.632,9.08224,7.791564e+07,101,19,-33,1442,1.586,69,12,-26,-2789,-3215,8054,984,862,864,939
90087,79.632,11.10038,7.802574e+07,91,31,-33,1442,1.595,61,21,-23,-2712,-4068,8180,978,889,853,929
200114,76.32,4.997152,7.932779e+07,82,-6,-55,1421,1.595,53,-4,-26,-1165,-7218,7032,856,936,846,840
191741,119.34,5.215369,7.95279e+07,82,-9,-60,1420,1.595,55,-2,-38,-1434,-8306,7699,895,895,769,911
301718,156.96,3.314353,7.972782e+07,82,-2,-61,1420,1.604,52,-3,-26,-1452,-8075,7362,821,965,884,800
89692,184.32,11.14927,8.002954e+07,92,0,-65,1433,1.595,58,-1,-36,-208,-8753,9365,912,931,878,854
199829,202.464,5.004279,8.013989e+07,95,15,-67,1442,1.595,58,8,-30,-420,-8450,8331,841,965,978,865
199848,213.66,5.003803,8.033972e+07,95,17,-50,1454,1.586,61,12,-27,-133,-8668,8982,898,976,922,951
200031,222.192,4.999225,8.053957e+07,93,42,-41,1477,1.586,61,26,-22,-145,-8935,10634,966,1003,994,970
289707,227.304,3.451763,8.07396e+07,76,1,-33,1490,1.586,52,-2,-15,162,-9446,10224,1009,1058,1042,930
110209,230.256,9.073669,8.10293e+07,77,-13,-54,1512,1.569,45,-10,-31,-450,-9379,9784,1013,1045,1072,1088
191655,231.732,5.217709,8.113951e+07,77,-3,-61,1484,1.586,52,-3,-31,-727,-9521,8914,980,1046,1015,950
208140,233.172,4.804459,8.133117e+07,79,-1,-69,1481,1.595,52,-1,-38,-510,-9355,8856,989,1019,991,968
179657,233.748,5.566162,8.153931e+07,90,-1,-73,1516,1.569,55,-1,-42,-119,-10348,9575,1054,1065,1062,1070
289705,228.996,3.451787,8.173929e+07,93,0,-65,1531,1.56,54,0,-33,382,-9854,10503,1046,1131,1128,1067
110415,203.364,9.05674,8.202899e+07,100,19,-51,1521,1.569,65,15,-25,442,-11223,8985,983,1131,1097,1080
