timeDeltaus,GPSspeedkph,currentSampleHz,timeus,rcCommand0,rcCommand1,rcCommand2,rcCommand3,vbatLatestV,gyroADC0,gyroADC1,gyroADC2,accSmooth0,accSmooth1,accSmooth2,motor0,motor1,motor2,motor3
170164,100.692,5.876684,1.486326e+07,-4,1,0,1897,14.422,-2,-5,-9,-1696,855,-4354,1736,1905,1950,1796
170006,173.844,5.882145,1.503343e+07,-4,1,0,1897,14.387,5,1,-7,-2060,734,-6367,1738,1932,1886,1831
170839,189.72,5.853464,1.520343e+07,-5,1,3,1897,14.413,0,8,12,-2096,528,3895,1814,1826,1747,2001
169846,191.808,5.887686,1.537427e+07,-4,1,4,1897,14.404,-7,0,6,-2064,851,2522,1751,1803,1869,1964
129912,181.08,7.697518,1.554412e+07,-4,1,5,1897,14.449,-2,-12,1,-1796,253,-2000,1798,1797,1950,1842
170026,181.08,5.881453,1.567403e+07,-4,1,5,1897,14.502,-2,-3,7,-1815,769,1210,1781,1805,1861,1940
170140,155.556,5.877513,1.584406e+07,-4,0,7,1897,14.316,-6,5,4,-1901,577,-4840,1717,1832,1892,1946
170000,151.704,5.882353,1.60142e+07,-4,0,8,1897,14.422,-5,1,-3,-1824,1153,701,1684,1878,1948,1877
560561,146.736,1.783927,1.61842e+07,-3,0,12,1897,14.342,4,1,9,-2190,703,1949,1759,1834,1844,1950
170098,143.1,5.878964,1.674476e+07,0,-4,2,1879,14.431,6,-4,0,-2166,823,3598,1717,1811,1844,1868
169954,139.248,5.883945,1.691485e+07,0,-4,0,1857,14.582,3,-6,2,-2240,763,1119,1687,1751,1771,1863
169986,134.388,5.882837,1.708481e+07,0,-7,-1,1818,14.564,13,-9,-1,-2332,225,-273,1673,1737,1656,1689
170368,129.96,5.869647,1.725479e+07,8,-22,-3,1715,15.14,11,-12,1,-2731,293,1322,1459,1492,1449,1543
170115,125.82,5.878376,1.742516e+07,10,-20,-5,1589,15.601,7,-12,-2,-3144,-223,-369,1169,1228,1223,1346
70879,122.832,14.10855,1.759528e+07,10,-16,-3,1490,15.805,8,-8,-1,-3169,-639,-3289,977,1087,1006,1121
99146,122.832,10.08614,1.766616e+07,10,-17,-3,1420,15.991,8,-10,0,-3135,-630,-3613,867,953,855,964
70955,113.904,14.09344,1.77653e+07,11,-21,-3,1347,16.071,6,-11,0,-3172,-731,-4718,687,819,725,858
169952,113.904,5.884014,1.783626e+07,22,-22,-3,1310,16.142,20,-9,-5,-3137,-764,-4656,606,831,655,711
170853,107.856,5.852985,1.800621e+07,43,-23,-3,1219,16.257,39,-15,3,-3039,-1419,-4460,514,670,415,484
90104,107.136,11.09829,2.109925e+07,93,0,-45,1400,15.885,56,2,-25,-339,-2671,5128,734,1041,1026,728
59307,107.136,16.86142,2.118935e+07,92,0,-47,1393,15.947,69,-3,-24,-462,-2545,5032,800,1006,982,688
60329,107.136,16.57578,2.124866e+07,81,0,-47,1393,15.893,56,9,-30,-558,-2469,5037,698,1129,925,726
561175,107.136,1.781975,2.130899e+07,71,0,-45,1393,15.991,46,1,-30,-495,-2456,4931,681,1085,1001,710
129953,167.616,7.69509,2.187016e+07,78,-7,-54,1407,15.92,55,-3,-37,-584,-2555,4826,778,1123,971,712
69695,195.552,14.34823,2.200012e+07,79,-14,-58,1396,15.743,53,-11,-36,-585,-2543,4327,808,1071,932,691
170830,195.552,5.853773,2.206981e+07,79,-14,-60,1396,15.929,57,-4,-38,-571,-2546,4260,830,1079,912,680
169669,230.004,5.893829,2.224064e+07,79,-7,-60,1396,15.947,45,-3,-37,-561,-2644,4438,787,999,958,752
561757,240.192,1.780129,2.241031e+07,79,-3,-57,1395,15.973,50,5,-35,-496,-2733,4350,777,1030,898,789
169764,244.26,5.89053,2.297207e+07,79,0,-52,1376,16.035,51,2,-22,-406,-2837,3855,848,895,828,772
171151,247.788,5.842794,2.314183e+07,79,-3,-55,1367,16.035,51,-4,-31,-328,-2787,3796,792,903,877,700
